domain,failure_types,group,path
api-design,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,software-engineering,library/failure-playbooks/software-engineering/001-api-design
backend-services,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,software-engineering,library/failure-playbooks/software-engineering/002-backend-services
frontend-systems,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,software-engineering,library/failure-playbooks/software-engineering/003-frontend-systems
mobile-applications,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,software-engineering,library/failure-playbooks/software-engineering/004-mobile-applications
database-engineering,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,software-engineering,library/failure-playbooks/software-engineering/005-database-engineering
distributed-systems,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,software-engineering,library/failure-playbooks/software-engineering/006-distributed-systems
event-driven-architecture,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,software-engineering,library/failure-playbooks/software-engineering/007-event-driven-architecture
workflow-engines,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,software-engineering,library/failure-playbooks/software-engineering/008-workflow-engines
developer-tooling,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,software-engineering,library/failure-playbooks/software-engineering/009-developer-tooling
ci-cd,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,software-engineering,library/failure-playbooks/software-engineering/010-ci-cd
observability,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,software-engineering,library/failure-playbooks/software-engineering/011-observability
performance-engineering,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,software-engineering,library/failure-playbooks/software-engineering/012-performance-engineering
reliability-engineering,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,software-engineering,library/failure-playbooks/software-engineering/013-reliability-engineering
platform-engineering,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,software-engineering,library/failure-playbooks/software-engineering/014-platform-engineering
cloud-architecture,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,software-engineering,library/failure-playbooks/software-engineering/015-cloud-architecture
edge-computing,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,software-engineering,library/failure-playbooks/software-engineering/016-edge-computing
serverless,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,software-engineering,library/failure-playbooks/software-engineering/017-serverless
microservices,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,software-engineering,library/failure-playbooks/software-engineering/018-microservices
monolith-modernization,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,software-engineering,library/failure-playbooks/software-engineering/019-monolith-modernization
data-migrations,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,software-engineering,library/failure-playbooks/software-engineering/020-data-migrations
testing-systems,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,software-engineering,library/failure-playbooks/software-engineering/021-testing-systems
