domain,group,operation,path,risk,route_id,title
api-design,software-engineering,architect,library/routes/software-engineering/001-api-design-architect,HIGH,001-api-design-architect,Architect Api Design
api-design,software-engineering,repair,library/routes/software-engineering/001-api-design-repair,HIGH,001-api-design-repair,Repair Api Design
backend-services,software-engineering,implement,library/routes/software-engineering/002-backend-services-implement,HIGH,002-backend-services-implement,Implement Backend Services
backend-services,software-engineering,migrate,library/routes/software-engineering/002-backend-services-migrate,HIGH,002-backend-services-migrate,Migrate Backend Services
frontend-systems,software-engineering,repair,library/routes/software-engineering/003-frontend-systems-repair,HIGH,003-frontend-systems-repair,Repair Frontend Systems
frontend-systems,software-engineering,architect,library/routes/software-engineering/003-frontend-systems-architect,HIGH,003-frontend-systems-architect,Architect Frontend Systems
mobile-applications,software-engineering,migrate,library/routes/software-engineering/004-mobile-applications-migrate,HIGH,004-mobile-applications-migrate,Migrate Mobile Applications
mobile-applications,software-engineering,implement,library/routes/software-engineering/004-mobile-applications-implement,HIGH,004-mobile-applications-implement,Implement Mobile Applications
database-engineering,software-engineering,architect,library/routes/software-engineering/005-database-engineering-architect,HIGH,005-database-engineering-architect,Architect Database Engineering
database-engineering,software-engineering,repair,library/routes/software-engineering/005-database-engineering-repair,HIGH,005-database-engineering-repair,Repair Database Engineering
distributed-systems,software-engineering,implement,library/routes/software-engineering/006-distributed-systems-implement,HIGH,006-distributed-systems-implement,Implement Distributed Systems
distributed-systems,software-engineering,migrate,library/routes/software-engineering/006-distributed-systems-migrate,HIGH,006-distributed-systems-migrate,Migrate Distributed Systems
event-driven-architecture,software-engineering,repair,library/routes/software-engineering/007-event-driven-architecture-repair,HIGH,007-event-driven-architecture-repair,Repair Event Driven Architecture
event-driven-architecture,software-engineering,architect,library/routes/software-engineering/007-event-driven-architecture-architect,HIGH,007-event-driven-architecture-architect,Architect Event Driven Architecture
workflow-engines,software-engineering,migrate,library/routes/software-engineering/008-workflow-engines-migrate,HIGH,008-workflow-engines-migrate,Migrate Workflow Engines
workflow-engines,software-engineering,implement,library/routes/software-engineering/008-workflow-engines-implement,HIGH,008-workflow-engines-implement,Implement Workflow Engines
developer-tooling,software-engineering,architect,library/routes/software-engineering/009-developer-tooling-architect,HIGH,009-developer-tooling-architect,Architect Developer Tooling
developer-tooling,software-engineering,repair,library/routes/software-engineering/009-developer-tooling-repair,HIGH,009-developer-tooling-repair,Repair Developer Tooling
ci-cd,software-engineering,implement,library/routes/software-engineering/010-ci-cd-implement,HIGH,010-ci-cd-implement,Implement Ci Cd
ci-cd,software-engineering,migrate,library/routes/software-engineering/010-ci-cd-migrate,HIGH,010-ci-cd-migrate,Migrate Ci Cd
observability,software-engineering,repair,library/routes/software-engineering/011-observability-repair,HIGH,011-observability-repair,Repair Observability
observability,software-engineering,architect,library/routes/software-engineering/011-observability-architect,HIGH,011-observability-architect,Architect Observability
performance-engineering,software-engineering,migrate,library/routes/software-engineering/012-performance-engineering-migrate,HIGH,012-performance-engineering-migrate,Migrate Performance Engineering
performance-engineering,software-engineering,implement,library/routes/software-engineering/012-performance-engineering-implement,HIGH,012-performance-engineering-implement,Implement Performance Engineering
reliability-engineering,software-engineering,architect,library/routes/software-engineering/013-reliability-engineering-architect,HIGH,013-reliability-engineering-architect,Architect Reliability Engineering
reliability-engineering,software-engineering,repair,library/routes/software-engineering/013-reliability-engineering-repair,HIGH,013-reliability-engineering-repair,Repair Reliability Engineering
platform-engineering,software-engineering,implement,library/routes/software-engineering/014-platform-engineering-implement,HIGH,014-platform-engineering-implement,Implement Platform Engineering
platform-engineering,software-engineering,migrate,library/routes/software-engineering/014-platform-engineering-migrate,HIGH,014-platform-engineering-migrate,Migrate Platform Engineering
cloud-architecture,software-engineering,repair,library/routes/software-engineering/015-cloud-architecture-repair,HIGH,015-cloud-architecture-repair,Repair Cloud Architecture
cloud-architecture,software-engineering,architect,library/routes/software-engineering/015-cloud-architecture-architect,HIGH,015-cloud-architecture-architect,Architect Cloud Architecture
edge-computing,software-engineering,migrate,library/routes/software-engineering/016-edge-computing-migrate,HIGH,016-edge-computing-migrate,Migrate Edge Computing
edge-computing,software-engineering,implement,library/routes/software-engineering/016-edge-computing-implement,HIGH,016-edge-computing-implement,Implement Edge Computing
serverless,software-engineering,architect,library/routes/software-engineering/017-serverless-architect,HIGH,017-serverless-architect,Architect Serverless
serverless,software-engineering,repair,library/routes/software-engineering/017-serverless-repair,HIGH,017-serverless-repair,Repair Serverless
