control_id,domain,group,path,type
001-api-design-preventive,api-design,software-engineering,library/controls/software-engineering/001-api-design-preventive,preventive
001-api-design-detective,api-design,software-engineering,library/controls/software-engineering/001-api-design-detective,detective
002-backend-services-preventive,backend-services,software-engineering,library/controls/software-engineering/002-backend-services-preventive,preventive
002-backend-services-detective,backend-services,software-engineering,library/controls/software-engineering/002-backend-services-detective,detective
003-frontend-systems-preventive,frontend-systems,software-engineering,library/controls/software-engineering/003-frontend-systems-preventive,preventive
003-frontend-systems-detective,frontend-systems,software-engineering,library/controls/software-engineering/003-frontend-systems-detective,detective
004-mobile-applications-preventive,mobile-applications,software-engineering,library/controls/software-engineering/004-mobile-applications-preventive,preventive
004-mobile-applications-detective,mobile-applications,software-engineering,library/controls/software-engineering/004-mobile-applications-detective,detective
005-database-engineering-preventive,database-engineering,software-engineering,library/controls/software-engineering/005-database-engineering-preventive,preventive
005-database-engineering-detective,database-engineering,software-engineering,library/controls/software-engineering/005-database-engineering-detective,detective
006-distributed-systems-preventive,distributed-systems,software-engineering,library/controls/software-engineering/006-distributed-systems-preventive,preventive
006-distributed-systems-detective,distributed-systems,software-engineering,library/controls/software-engineering/006-distributed-systems-detective,detective
007-event-driven-architecture-preventive,event-driven-architecture,software-engineering,library/controls/software-engineering/007-event-driven-architecture-preventive,preventive
007-event-driven-architecture-detective,event-driven-architecture,software-engineering,library/controls/software-engineering/007-event-driven-architecture-detective,detective
008-workflow-engines-preventive,workflow-engines,software-engineering,library/controls/software-engineering/008-workflow-engines-preventive,preventive
008-workflow-engines-detective,workflow-engines,software-engineering,library/controls/software-engineering/008-workflow-engines-detective,detective
009-developer-tooling-preventive,developer-tooling,software-engineering,library/controls/software-engineering/009-developer-tooling-preventive,preventive
009-developer-tooling-detective,developer-tooling,software-engineering,library/controls/software-engineering/009-developer-tooling-detective,detective
010-ci-cd-preventive,ci-cd,software-engineering,library/controls/software-engineering/010-ci-cd-preventive,preventive
010-ci-cd-detective,ci-cd,software-engineering,library/controls/software-engineering/010-ci-cd-detective,detective
011-observability-preventive,observability,software-engineering,library/controls/software-engineering/011-observability-preventive,preventive
011-observability-detective,observability,software-engineering,library/controls/software-engineering/011-observability-detective,detective
012-performance-engineering-preventive,performance-engineering,software-engineering,library/controls/software-engineering/012-performance-engineering-preventive,preventive
012-performance-engineering-detective,performance-engineering,software-engineering,library/controls/software-engineering/012-performance-engineering-detective,detective
013-reliability-engineering-preventive,reliability-engineering,software-engineering,library/controls/software-engineering/013-reliability-engineering-preventive,preventive
013-reliability-engineering-detective,reliability-engineering,software-engineering,library/controls/software-engineering/013-reliability-engineering-detective,detective
014-platform-engineering-preventive,platform-engineering,software-engineering,library/controls/software-engineering/014-platform-engineering-preventive,preventive
014-platform-engineering-detective,platform-engineering,software-engineering,library/controls/software-engineering/014-platform-engineering-detective,detective
015-cloud-architecture-preventive,cloud-architecture,software-engineering,library/controls/software-engineering/015-cloud-architecture-preventive,preventive
015-cloud-architecture-detective,cloud-architecture,software-engineering,library/controls/software-engineering/015-cloud-architecture-detective,detective
