evidence_id,lane,source_type,source_path,source_hash,collected_at,data_classification,parser,parser_version,confidence,human_review_required
ev-example-accessibility-0001,accessibility,synthetic_fixture,/home/user/uberbondd/experiments/offline-revenue-factory-v1/UBERBOND_OFFLINE_REVENUE_FACTORY_V1/fixtures/accessibility/violations_found/automated_scan.json,43380d20845c604ad118ee3e3ba2a8134abd2df35d1215fbd72b0befa09ce6d9,2026-08-03T00:49:32Z,SYNTHETIC,accessibility.scan_reader,1.0.0,high,False
ev-example-accessibility-0002,accessibility,derived,/home/user/uberbondd/experiments/offline-revenue-factory-v1/UBERBOND_OFFLINE_REVENUE_FACTORY_V1/fixtures/accessibility/violations_found/automated_scan.json#color-contrast:#submit-btn,,2026-08-03T00:49:32Z,SYNTHETIC,accessibility.violation_extractor,1.0.0,high,False
ev-example-accessibility-0003,accessibility,derived,/home/user/uberbondd/experiments/offline-revenue-factory-v1/UBERBOND_OFFLINE_REVENUE_FACTORY_V1/fixtures/accessibility/violations_found/automated_scan.json#image-alt:img.product-thumb,,2026-08-03T00:49:32Z,SYNTHETIC,accessibility.violation_extractor,1.0.0,high,False
ev-example-accessibility-0004,accessibility,derived,/home/user/uberbondd/experiments/offline-revenue-factory-v1/UBERBOND_OFFLINE_REVENUE_FACTORY_V1/fixtures/accessibility/violations_found/automated_scan.json#label:input#promo-code,,2026-08-03T00:49:32Z,SYNTHETIC,accessibility.violation_extractor,1.0.0,high,False
ev-example-accessibility-0005,accessibility,derived,/home/user/uberbondd/experiments/offline-revenue-factory-v1/UBERBOND_OFFLINE_REVENUE_FACTORY_V1/fixtures/accessibility/violations_found/automated_scan.json#link-name:a.icon-only,,2026-08-03T00:49:32Z,SYNTHETIC,accessibility.violation_extractor,1.0.0,high,False
ev-example-accessibility-0006,accessibility,synthetic_fixture,/home/user/uberbondd/experiments/offline-revenue-factory-v1/UBERBOND_OFFLINE_REVENUE_FACTORY_V1/fixtures/accessibility/violations_found/manual_checklist.json,615b682f85de0717165864082982f20c91e08082c78d57a7c12506c2da99958c,2026-08-03T00:49:32Z,SYNTHETIC,accessibility.checklist_reader,1.0.0,high,False
ev-example-accessibility-0007,accessibility,derived,/home/user/uberbondd/experiments/offline-revenue-factory-v1/UBERBOND_OFFLINE_REVENUE_FACTORY_V1/fixtures/accessibility/violations_found/manual_checklist.json#1.1.1,,2026-08-03T00:49:32Z,SYNTHETIC,accessibility.checklist_item_extractor,1.0.0,high,True
ev-example-accessibility-0008,accessibility,derived,/home/user/uberbondd/experiments/offline-revenue-factory-v1/UBERBOND_OFFLINE_REVENUE_FACTORY_V1/fixtures/accessibility/violations_found/manual_checklist.json#2.1.1,,2026-08-03T00:49:32Z,SYNTHETIC,accessibility.checklist_item_extractor,1.0.0,high,False
ev-example-accessibility-0009,accessibility,derived,/home/user/uberbondd/experiments/offline-revenue-factory-v1/UBERBOND_OFFLINE_REVENUE_FACTORY_V1/fixtures/accessibility/violations_found/manual_checklist.json#3.3.2,,2026-08-03T00:49:32Z,SYNTHETIC,accessibility.checklist_item_extractor,1.0.0,high,True
ev-example-accessibility-0010,accessibility,derived,/home/user/uberbondd/experiments/offline-revenue-factory-v1/UBERBOND_OFFLINE_REVENUE_FACTORY_V1/fixtures/accessibility/violations_found/manual_checklist.json#4.1.2,,2026-08-03T00:49:32Z,SYNTHETIC,accessibility.checklist_item_extractor,1.0.0,high,True
ev-example-accessibility-0011,accessibility,synthetic_fixture,/home/user/uberbondd/experiments/offline-revenue-factory-v1/UBERBOND_OFFLINE_REVENUE_FACTORY_V1/fixtures/accessibility/violations_found/page_inventory.json,c49ad414fb64269950f6c6f3715e94ebba960307778b5ee11196040cab5df0f4,2026-08-03T00:49:32Z,SYNTHETIC,accessibility.page_inventory_reader,1.0.0,high,False
