domain,group,name,path
api-design,software-engineering,apex-api-design-specialist,library/agents/software-engineering/apex-api-design-specialist
backend-services,software-engineering,apex-backend-services-specialist,library/agents/software-engineering/apex-backend-services-specialist
frontend-systems,software-engineering,apex-frontend-systems-specialist,library/agents/software-engineering/apex-frontend-systems-specialist
mobile-applications,software-engineering,apex-mobile-applications-specialist,library/agents/software-engineering/apex-mobile-applications-specialist
database-engineering,software-engineering,apex-database-engineering-specialist,library/agents/software-engineering/apex-database-engineering-specialist
distributed-systems,software-engineering,apex-distributed-systems-specialist,library/agents/software-engineering/apex-distributed-systems-specialist
event-driven-architecture,software-engineering,apex-event-driven-architecture-specialist,library/agents/software-engineering/apex-event-driven-architecture-specialist
workflow-engines,software-engineering,apex-workflow-engines-specialist,library/agents/software-engineering/apex-workflow-engines-specialist
developer-tooling,software-engineering,apex-developer-tooling-specialist,library/agents/software-engineering/apex-developer-tooling-specialist
ci-cd,software-engineering,apex-ci-cd-specialist,library/agents/software-engineering/apex-ci-cd-specialist
observability,software-engineering,apex-observability-specialist,library/agents/software-engineering/apex-observability-specialist
performance-engineering,software-engineering,apex-performance-engineering-specialist,library/agents/software-engineering/apex-performance-engineering-specialist
reliability-engineering,software-engineering,apex-reliability-engineering-specialist,library/agents/software-engineering/apex-reliability-engineering-specialist
platform-engineering,software-engineering,apex-platform-engineering-specialist,library/agents/software-engineering/apex-platform-engineering-specialist
cloud-architecture,software-engineering,apex-cloud-architecture-specialist,library/agents/software-engineering/apex-cloud-architecture-specialist
edge-computing,software-engineering,apex-edge-computing-specialist,library/agents/software-engineering/apex-edge-computing-specialist
serverless,software-engineering,apex-serverless-specialist,library/agents/software-engineering/apex-serverless-specialist
microservices,software-engineering,apex-microservices-specialist,library/agents/software-engineering/apex-microservices-specialist
monolith-modernization,software-engineering,apex-monolith-modernization-specialist,library/agents/software-engineering/apex-monolith-modernization-specialist
data-migrations,software-engineering,apex-data-migrations-specialist,library/agents/software-engineering/apex-data-migrations-specialist
testing-systems,software-engineering,apex-testing-systems-specialist,library/agents/software-engineering/apex-testing-systems-specialist
release-engineering,software-engineering,apex-release-engineering-specialist,library/agents/software-engineering/apex-release-engineering-specialist
package-management,software-engineering,apex-package-management-specialist,library/agents/software-engineering/apex-package-management-specialist
configuration,software-engineering,apex-configuration-specialist,library/agents/software-engineering/apex-configuration-specialist
feature-flags,software-engineering,apex-feature-flags-specialist,library/agents/software-engineering/apex-feature-flags-specialist
multi-tenancy,software-engineering,apex-multi-tenancy-specialist,library/agents/software-engineering/apex-multi-tenancy-specialist
billing-systems,software-engineering,apex-billing-systems-specialist,library/agents/software-engineering/apex-billing-systems-specialist
identity-access,software-engineering,apex-identity-access-specialist,library/agents/software-engineering/apex-identity-access-specialist
search-systems,software-engineering,apex-search-systems-specialist,library/agents/software-engineering/apex-search-systems-specialist
notification-systems,software-engineering,apex-notification-systems-specialist,library/agents/software-engineering/apex-notification-systems-specialist
file-processing,software-engineering,apex-file-processing-specialist,library/agents/software-engineering/apex-file-processing-specialist
browser-automation,software-engineering,apex-browser-automation-specialist,library/agents/software-engineering/apex-browser-automation-specialist
llm-applications,ai-data,apex-llm-applications-specialist,library/agents/ai-data/apex-llm-applications-specialist
agent-architecture,ai-data,apex-agent-architecture-specialist,library/agents/ai-data/apex-agent-architecture-specialist
rag-systems,ai-data,apex-rag-systems-specialist,library/agents/ai-data/apex-rag-systems-specialist
embeddings,ai-data,apex-embeddings-specialist,library/agents/ai-data/apex-embeddings-specialist
reranking,ai-data,apex-reranking-specialist,library/agents/ai-data/apex-reranking-specialist
prompt-engineering,ai-data,apex-prompt-engineering-specialist,library/agents/ai-data/apex-prompt-engineering-specialist
model-evaluation,ai-data,apex-model-evaluation-specialist,library/agents/ai-data/apex-model-evaluation-specialist
model-routing,ai-data,apex-model-routing-specialist,library/agents/ai-data/apex-model-routing-specialist
synthetic-data,ai-data,apex-synthetic-data-specialist,library/agents/ai-data/apex-synthetic-data-specialist
fine-tuning,ai-data,apex-fine-tuning-specialist,library/agents/ai-data/apex-fine-tuning-specialist
multimodal-ai,ai-data,apex-multimodal-ai-specialist,library/agents/ai-data/apex-multimodal-ai-specialist
vision-systems,ai-data,apex-vision-systems-specialist,library/agents/ai-data/apex-vision-systems-specialist
speech-systems,ai-data,apex-speech-systems-specialist,library/agents/ai-data/apex-speech-systems-specialist
document-ai,ai-data,apex-document-ai-specialist,library/agents/ai-data/apex-document-ai-specialist
recommendation-systems,ai-data,apex-recommendation-systems-specialist,library/agents/ai-data/apex-recommendation-systems-specialist
forecasting,ai-data,apex-forecasting-specialist,library/agents/ai-data/apex-forecasting-specialist
application-security,security-privacy,apex-application-security-specialist,library/agents/security-privacy/apex-application-security-specialist
cloud-security,security-privacy,apex-cloud-security-specialist,library/agents/security-privacy/apex-cloud-security-specialist
identity-security,security-privacy,apex-identity-security-specialist,library/agents/security-privacy/apex-identity-security-specialist
secrets-management,security-privacy,apex-secrets-management-specialist,library/agents/security-privacy/apex-secrets-management-specialist
threat-modeling,security-privacy,apex-threat-modeling-specialist,library/agents/security-privacy/apex-threat-modeling-specialist
incident-response,security-privacy,apex-incident-response-specialist,library/agents/security-privacy/apex-incident-response-specialist
data-privacy,security-privacy,apex-data-privacy-specialist,library/agents/security-privacy/apex-data-privacy-specialist
prompt-injection,security-privacy,apex-prompt-injection-specialist,library/agents/security-privacy/apex-prompt-injection-specialist
supply-chain-security,security-privacy,apex-supply-chain-security-specialist,library/agents/security-privacy/apex-supply-chain-security-specialist
vulnerability-management,security-privacy,apex-vulnerability-management-specialist,library/agents/security-privacy/apex-vulnerability-management-specialist
security-logging,security-privacy,apex-security-logging-specialist,library/agents/security-privacy/apex-security-logging-specialist
abuse-prevention,security-privacy,apex-abuse-prevention-specialist,library/agents/security-privacy/apex-abuse-prevention-specialist
fraud-detection,security-privacy,apex-fraud-detection-specialist,library/agents/security-privacy/apex-fraud-detection-specialist
payments-security,security-privacy,apex-payments-security-specialist,library/agents/security-privacy/apex-payments-security-specialist
tenant-isolation,security-privacy,apex-tenant-isolation-specialist,library/agents/security-privacy/apex-tenant-isolation-specialist
secure-deployment,security-privacy,apex-secure-deployment-specialist,library/agents/security-privacy/apex-secure-deployment-specialist
product-strategy,product-design,apex-product-strategy-specialist,library/agents/product-design/apex-product-strategy-specialist
product-discovery,product-design,apex-product-discovery-specialist,library/agents/product-design/apex-product-discovery-specialist
user-research,product-design,apex-user-research-specialist,library/agents/product-design/apex-user-research-specialist
ux-design,product-design,apex-ux-design-specialist,library/agents/product-design/apex-ux-design-specialist
design-systems,product-design,apex-design-systems-specialist,library/agents/product-design/apex-design-systems-specialist
accessibility,product-design,apex-accessibility-specialist,library/agents/product-design/apex-accessibility-specialist
onboarding,product-design,apex-onboarding-specialist,library/agents/product-design/apex-onboarding-specialist
activation,product-design,apex-activation-specialist,library/agents/product-design/apex-activation-specialist
retention,product-design,apex-retention-specialist,library/agents/product-design/apex-retention-specialist
experimentation,product-design,apex-experimentation-specialist,library/agents/product-design/apex-experimentation-specialist
analytics,product-design,apex-analytics-specialist,library/agents/product-design/apex-analytics-specialist
roadmapping,product-design,apex-roadmapping-specialist,library/agents/product-design/apex-roadmapping-specialist
pricing-design,product-design,apex-pricing-design-specialist,library/agents/product-design/apex-pricing-design-specialist
enterprise-product,product-design,apex-enterprise-product-specialist,library/agents/product-design/apex-enterprise-product-specialist
developer-experience,product-design,apex-developer-experience-specialist,library/agents/product-design/apex-developer-experience-specialist
content-design,product-design,apex-content-design-specialist,library/agents/product-design/apex-content-design-specialist
market-research,commercial-growth,apex-market-research-specialist,library/agents/commercial-growth/apex-market-research-specialist
buyer-intelligence,commercial-growth,apex-buyer-intelligence-specialist,library/agents/commercial-growth/apex-buyer-intelligence-specialist
offer-design,commercial-growth,apex-offer-design-specialist,library/agents/commercial-growth/apex-offer-design-specialist
sales-operations,commercial-growth,apex-sales-operations-specialist,library/agents/commercial-growth/apex-sales-operations-specialist
outbound-systems,commercial-growth,apex-outbound-systems-specialist,library/agents/commercial-growth/apex-outbound-systems-specialist
inbound-growth,commercial-growth,apex-inbound-growth-specialist,library/agents/commercial-growth/apex-inbound-growth-specialist
partnerships,commercial-growth,apex-partnerships-specialist,library/agents/commercial-growth/apex-partnerships-specialist
