domain,group,id,keywords,path,risk,title
api-design,software-engineering,001-api-design,software-engineering api-design Api Design discover architect implement verify release operate,library/domains/software-engineering/001-api-design,HIGH,Api Design
backend-services,software-engineering,002-backend-services,software-engineering backend-services Backend Services discover architect implement verify release operate,library/domains/software-engineering/002-backend-services,HIGH,Backend Services
frontend-systems,software-engineering,003-frontend-systems,software-engineering frontend-systems Frontend Systems discover architect implement verify release operate,library/domains/software-engineering/003-frontend-systems,HIGH,Frontend Systems
mobile-applications,software-engineering,004-mobile-applications,software-engineering mobile-applications Mobile Applications discover architect implement verify release operate,library/domains/software-engineering/004-mobile-applications,HIGH,Mobile Applications
database-engineering,software-engineering,005-database-engineering,software-engineering database-engineering Database Engineering discover architect implement verify release operate,library/domains/software-engineering/005-database-engineering,HIGH,Database Engineering
distributed-systems,software-engineering,006-distributed-systems,software-engineering distributed-systems Distributed Systems discover architect implement verify release operate,library/domains/software-engineering/006-distributed-systems,HIGH,Distributed Systems
event-driven-architecture,software-engineering,007-event-driven-architecture,software-engineering event-driven-architecture Event Driven Architecture discover architect implement verify release operate,library/domains/software-engineering/007-event-driven-architecture,HIGH,Event Driven Architecture
workflow-engines,software-engineering,008-workflow-engines,software-engineering workflow-engines Workflow Engines discover architect implement verify release operate,library/domains/software-engineering/008-workflow-engines,HIGH,Workflow Engines
developer-tooling,software-engineering,009-developer-tooling,software-engineering developer-tooling Developer Tooling discover architect implement verify release operate,library/domains/software-engineering/009-developer-tooling,HIGH,Developer Tooling
ci-cd,software-engineering,010-ci-cd,software-engineering ci-cd Ci Cd discover architect implement verify release operate,library/domains/software-engineering/010-ci-cd,HIGH,Ci Cd
observability,software-engineering,011-observability,software-engineering observability Observability discover architect implement verify release operate,library/domains/software-engineering/011-observability,HIGH,Observability
performance-engineering,software-engineering,012-performance-engineering,software-engineering performance-engineering Performance Engineering discover architect implement verify release operate,library/domains/software-engineering/012-performance-engineering,HIGH,Performance Engineering
reliability-engineering,software-engineering,013-reliability-engineering,software-engineering reliability-engineering Reliability Engineering discover architect implement verify release operate,library/domains/software-engineering/013-reliability-engineering,HIGH,Reliability Engineering
platform-engineering,software-engineering,014-platform-engineering,software-engineering platform-engineering Platform Engineering discover architect implement verify release operate,library/domains/software-engineering/014-platform-engineering,HIGH,Platform Engineering
cloud-architecture,software-engineering,015-cloud-architecture,software-engineering cloud-architecture Cloud Architecture discover architect implement verify release operate,library/domains/software-engineering/015-cloud-architecture,HIGH,Cloud Architecture
edge-computing,software-engineering,016-edge-computing,software-engineering edge-computing Edge Computing discover architect implement verify release operate,library/domains/software-engineering/016-edge-computing,HIGH,Edge Computing
serverless,software-engineering,017-serverless,software-engineering serverless Serverless discover architect implement verify release operate,library/domains/software-engineering/017-serverless,HIGH,Serverless
microservices,software-engineering,018-microservices,software-engineering microservices Microservices discover architect implement verify release operate,library/domains/software-engineering/018-microservices,HIGH,Microservices
monolith-modernization,software-engineering,019-monolith-modernization,software-engineering monolith-modernization Monolith Modernization discover architect implement verify release operate,library/domains/software-engineering/019-monolith-modernization,HIGH,Monolith Modernization
data-migrations,software-engineering,020-data-migrations,software-engineering data-migrations Data Migrations discover architect implement verify release operate,library/domains/software-engineering/020-data-migrations,HIGH,Data Migrations
testing-systems,software-engineering,021-testing-systems,software-engineering testing-systems Testing Systems discover architect implement verify release operate,library/domains/software-engineering/021-testing-systems,HIGH,Testing Systems
release-engineering,software-engineering,022-release-engineering,software-engineering release-engineering Release Engineering discover architect implement verify release operate,library/domains/software-engineering/022-release-engineering,HIGH,Release Engineering
package-management,software-engineering,023-package-management,software-engineering package-management Package Management discover architect implement verify release operate,library/domains/software-engineering/023-package-management,HIGH,Package Management
configuration,software-engineering,024-configuration,software-engineering configuration Configuration discover architect implement verify release operate,library/domains/software-engineering/024-configuration,HIGH,Configuration
feature-flags,software-engineering,025-feature-flags,software-engineering feature-flags Feature Flags discover architect implement verify release operate,library/domains/software-engineering/025-feature-flags,HIGH,Feature Flags
multi-tenancy,software-engineering,026-multi-tenancy,software-engineering multi-tenancy Multi Tenancy discover architect implement verify release operate,library/domains/software-engineering/026-multi-tenancy,HIGH,Multi Tenancy
billing-systems,software-engineering,027-billing-systems,software-engineering billing-systems Billing Systems discover architect implement verify release operate,library/domains/software-engineering/027-billing-systems,HIGH,Billing Systems
identity-access,software-engineering,028-identity-access,software-engineering identity-access Identity Access discover architect implement verify release operate,library/domains/software-engineering/028-identity-access,HIGH,Identity Access
search-systems,software-engineering,029-search-systems,software-engineering search-systems Search Systems discover architect implement verify release operate,library/domains/software-engineering/029-search-systems,HIGH,Search Systems
notification-systems,software-engineering,030-notification-systems,software-engineering notification-systems Notification Systems discover architect implement verify release operate,library/domains/software-engineering/030-notification-systems,HIGH,Notification Systems
