feature,quality_difference,status,v2_approach
Actual Fable 5 model weights,Latent intelligence and benchmark performance remain Sonnet-limited.,NOT_TRANSFERABLE,Clean-room execution kernel
Actual GPT-5.6 Sol model weights,Architecture judgment remains Sonnet-limited.,NOT_TRANSFERABLE,Clean-room decision kernel
Fable adaptive reasoning distribution,Different model calibration.,PARTIAL,Sonnet adaptive thinking at xhigh/max
Anthropic task budgets,Not a server-side token countdown.,UNAVAILABLE_ON_SONNET,"State phases, maxTurns, stop hooks, and deterministic budget records"
GPT-5.6 Programmatic Tool Calling,No OpenAI hosted PTC runtime or program items.,EMULATED,Sonnet writes local programs through Bash and validates strict output
GPT-5.6 persisted hidden reasoning,No hidden reasoning item reuse.,EMULATED,Explicit decision contracts and mission state
GPT-5.6 explicit cache breakpoints,No OpenAI cache-write controls.,EMULATED,Stable file prefixes and Claude Code automatic caching
GPT-5.6 pro mode,No provider-side pro execution.,EMULATED,"Architecture, execution, dual review, repair, single final result"
GPT-5.6 ultra,Different orchestration and much higher Sonnet usage.,EMULATED_OPTIONAL,Claude Code agent teams with Sonnet max
Fable task-specific safety classifiers,Not identical provider safeguards.,NOT_TRANSFERABLE,Claude Code/ Sonnet safety plus deterministic hooks
Fable native vision gains,Vision quality remains Sonnet's.,NOT_TRANSFERABLE,Sonnet 5 vision and image tooling
Cross-model cache continuity,Model switches warm separate caches.,IMPOSSIBLE,Remain Sonnet-only
